_index,_type,_id,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.dpkg_status,_source.data.package,_source.data.arch,_source.data.version,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gpg13,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.syscheck.size_before,_source.syscheck.uname_after,_source.syscheck.mtime_after,_source.syscheck.inode_before,_source.syscheck.size_after,_source.syscheck.gid_after,_source.syscheck.md5_before,_source.syscheck.sha256_before,_source.syscheck.mtime_before,_source.syscheck.mode,_source.syscheck.path,_source.syscheck.sha1_after,_source.syscheck.changed_attributes,_source.syscheck.gname_after,_source.syscheck.uid_after,_source.syscheck.perm_after,_source.syscheck.event,_source.syscheck.md5_after,_source.syscheck.sha1_before,_source.syscheck.sha256_after,_source.syscheck.inode_after,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.extra_data,_source.data.status,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.decoder.parent,_source.data.uid,_source.data.dstuser,_source.data.id,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.scan_id,_source.data.sca.passed,_source.data.sca.failed,_source.data.sca.type,_source.data.sca.policy,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.previous_result,_source.data.sca.check.compliance.pci_dss,_source.data.sca.check.compliance.hipaa,_source.data.sca.check.compliance.tsc,_source.data.sca.check.compliance.cis_csc,_source.data.sca.check.compliance.gdpr_IV,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.nist_800_53,_source.data.sca.check.compliance.gpg_13,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.command,_source.rule.gdpr_IV,_source.rule.cis,_source.rule.cis_csc,_source.rule.gpg_13,_source.data.srcuser,_source.data.tty,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.data.sca.check.references,_source.data.sca.check.file,_source.data.sca.check.directory,_source.data.sca.check.reason,_source.data.sca.check.status,_source.decoder,_source.data.protocol,_source.data.srcip,_source.data.url
racVM-alerts-4.x-2022.04.06,_doc,hBio_n8BNtEzm59aegWj,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status half-configured,libfribidi0,amd64,1.0.8-2,1,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-06 06:32:51 status half-configured libfribidi0:amd64 1.0.8-2,log,4/6/2022 11:35,/var/log/dpkg.log,1649244923,4/6/2022 11:35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,hxio_n8BNtEzm59aegWj,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status half-configured,libc-bin,amd64,2.31-0ubuntu9.7,3,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-06 06:32:51 status half-configured libc-bin:amd64 2.31-0ubuntu9.7,log,4/6/2022 11:35,/var/log/dpkg.log,1649244923,4/6/2022 11:35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,iBio_n8BNtEzm59aegWj,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status installed,libc-bin,amd64,2.31-0ubuntu9.7,2,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-06 06:32:51 status installed libc-bin:amd64 2.31-0ubuntu9.7,log,4/6/2022 11:35,/var/log/dpkg.log,1649244923,4/6/2022 11:35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,6hjR_n8BNtEzm59aZwU9,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status half-configured,desktop-file-utils,amd64,0.24-1ubuntu3,6,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-08 00:41:42 status half-configured desktop-file-utils:amd64 0.24-1ubuntu3,log,4/6/2022 12:20,/var/log/dpkg.log,1649247607,4/6/2022 12:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,6xjR_n8BNtEzm59aZwU9,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status installed,gnome-menus,amd64,3.36.0-1ubuntu1,6,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-08 00:41:43 status installed gnome-menus:amd64 3.36.0-1ubuntu1,log,4/6/2022 12:20,/var/log/dpkg.log,1649247607,4/6/2022 12:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,7BjR_n8BNtEzm59aZwU9,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status half-configured,gnome-menus,amd64,3.36.0-1ubuntu1,7,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-08 00:41:43 status half-configured gnome-menus:amd64 3.36.0-1ubuntu1,log,4/6/2022 12:20,/var/log/dpkg.log,1649247607,4/6/2022 12:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,0RjO_n8BNtEzm59aIgXS,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,2,FALSE,7,"[""11.5""]","[""164.312.c.1"",""164.312.c.2""]","[""PI1.4"",""PI1.5"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",Integrity checksum changed.,"[""ossec"",""syscheck"",""syscheck_entry_modified"",""syscheck_file""]",550,"[""SI.7""]","[""4.11""]","[""II_5.1.f""]",syscheck_integrity_changed,"File '/etc/cups/subscriptions.conf.O' modified
Mode: scheduled
Changed attributes: size,mtime,inode,md5,sha1,sha256
Size changed from '685' to '378'
Old modification time was: '1649171042', now it is '1649176268'
Old inode was: '263525', now it is '266118'
Old md5sum was: '487cddfdaaba48f5ce920d209acf50cb'
New md5sum is : '112c2c98c06a927ecd5099958ba4e538'
Old sha1sum was: '16cde30028d31a120d873655b94b3f20b373b7bb'
New sha1sum is : '1dd3703dcb209a8349ffd26b478bd95f98a311a4'
Old sha256sum was: '5215c5f9979b66883e1c9c39dae83def8380d4693d41863c17673b9465d2b7a7'
New sha256sum is : 'f406bb0718c71ac9a9025a9b043457dc9a85191c28f78840719300e72baa7556'
",log,4/6/2022 12:16,syscheck,1649247394,4/6/2022 12:16,685,root,2022-04-05T16:31:08,263525,378,7,487cddfdaaba48f5ce920d209acf50cb,5215c5f9979b66883e1c9c39dae83def8380d4693d41863c17673b9465d2b7a7,2022-04-05T15:04:02,scheduled,/etc/cups/subscriptions.conf.O,1dd3703dcb209a8349ffd26b478bd95f98a311a4,"[""size"",""mtime"",""inode"",""md5"",""sha1"",""sha256""]",lp,0,rw-r-----,modified,112c2c98c06a927ecd5099958ba4e538,16cde30028d31a120d873655b94b3f20b373b7bb,f406bb0718c71ac9a9025a9b043457dc9a85191c28f78840719300e72baa7556,266118,"[""Stored Data Manipulation""]","[""T1492""]","[""Impact""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""syscheck_integrity_changed""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,3xjR_n8BNtEzm59aSwXs,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager,status half-configured,firefox,amd64,98.0.2+build1-0ubuntu0.20.04.1,1,FALSE,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2022-04-08 00:41:36 status half-configured firefox:amd64 98.0.2+build1-0ubuntu0.20.04.1,log,4/6/2022 12:20,/var/log/dpkg.log,1649247601,4/6/2022 12:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""dpkg-decoder""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,1xjO_n8BNtEzm59a6gU5,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,3,"[""10.5.2"",""10.5.5""]","[""164.312.b""]","[""CC6.1"",""CC7.2"",""CC7.3"",""PI1.4"",""PI1.5"",""CC7.1"",""CC8.1""]",Log file rotated.,"[""ossec""]",591,"[""AU.9""]","[""10.1""]","[""II_5.1.f"",""IV_35.7.d""]",ossec,ossec: File rotated (inode changed): '/var/log/apache2/access.log'.,log,4/6/2022 12:17,racVM-logcollector,1649247438,4/6/2022 12:17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""ossec""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,rxh__38BNtEzm59aAwg6,5.4587674,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,2,FALSE,3, , , ,Apparmor DENIED,"[""local"",""syslog"",""apparmor""]",52002, , , ,kernel,"Apr  8 04:52:20 administrator-virtual-machine kernel: [41000.856858] audit: type=1400 audit(1649418740.328:80): apparmor=""DENIED"" operation=""open"" profile=""snap.snap-store.ubuntu-software-local-file"" name=""/var/lib/snapd/hostfs/usr/share/gdm/greeter/applications/gnome-initial-setup.desktop"" pid=43382 comm=""snap-store"" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",log,4/6/2022 15:29,/var/log/kern.log,1649258979,4/6/2022 15:29, , , , , , , , , , , , , , , , , , , , , , , , ,open,DENIED,administrator-virtual-machine,kernel,4/8/2022 4:52,kernel, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , 
racVM-alerts-4.x-2022.04.08,_doc,3riBCoAB8lCS1J-iwj0T,5.3307333,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,3,"[""10.6.1"",""10.2.6""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8""]",Ossec agent started.,"[""ossec""]",503,"[""AU.6"",""AU.14"",""AU.5""]","[""10.1""]","[""IV_35.7.d""]",ossec,ossec: Agent started: 'administrator-virtual-machine->any'.,log,4/8/2022 17:01,ossec,1649437320,4/8/2022 17:01, , , , , , , , , , , , , , , , , , , , , , , , ,administrator-virtual-machine->any, , , , ,ossec, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""ossec"",""name"":""ossec""}", , , 
racVM-alerts-4.x-2022.04.08,_doc,67iBCoAB8lCS1J-iwj0T,5.3307333,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,2,FALSE,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,Apr  8 10:03:25 administrator-virtual-machine pkexec: pam_unix(polkit-1:session): session opened for user root by (uid=1000),log,4/8/2022 17:03,/var/log/auth.log,1649437406,4/8/2022 17:03, , , , , , , , , , , , , , , , , , , , , ,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Initial Access"",""Persistence"",""Privilege Escalation""]", , ,administrator-virtual-machine,pkexec,4/8/2022 10:03,pam,1000,root, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""pam"",""name"":""pam""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,XhiW_n8BNtEzm59azgXZ,4.977697,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,3,FALSE,3, , , ,Apparmor DENIED,"[""local"",""syslog"",""apparmor""]",52002, , , ,kernel,"Apr  6 06:15:06 administrator-virtual-machine kernel: [26717.570379] audit: type=1400 audit(1649250906.777:64): apparmor=""DENIED"" operation=""open"" profile=""snap.snap-store.ubuntu-software-local-file"" name=""/var/lib/snapd/hostfs/usr/share/gdm/greeter/applications/gnome-initial-setup.desktop"" pid=43382 comm=""pool-org.gnome."" requested_mask=""r"" denied_mask=""r"" fsuid=1000 ouid=0",log,4/6/2022 11:16,/var/log/syslog,1649243769,4/6/2022 11:16, , , , , , , , , , , , , , , , , , , , , , , , ,open,DENIED,administrator-virtual-machine,kernel,4/6/2022 6:15,kernel, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,yxjO_n8BNtEzm59aIgXS,4.977697,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,3, , , ,USB device disconnected,"[""usb""]",81102, , , ,kernel,"Apr  6 07:14:26 administrator-virtual-machine kernel: [30276.981950] usb 2-2.1: USB disconnect, device number 7",log,4/6/2022 12:16,/var/log/syslog,1649247394,4/6/2022 12:16, , , , , , , , , , , , , , , , , , , , , , , , , , ,administrator-virtual-machine,kernel,4/6/2022 7:14,kernel, , ,usb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,zBjO_n8BNtEzm59aIgXS,4.977697,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,5, , , ,Systemd: Service exited due to a failure.,"[""local"",""systemd""]",40704, ,"[""4.3""]","[""IV_35.7.d""]",systemd,"Apr  8 00:38:11 administrator-virtual-machine systemd[1]: fwupd-refresh.service: Main process exited, code=exited, status=1/FAILURE",log,4/6/2022 12:16,/var/log/syslog,1649247394,4/6/2022 12:16, , , , , , , , , , , , , , , , , , , , , , , , , , ,administrator-virtual-machine,systemd,4/8/2022 0:38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""systemd""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,zRjO_n8BNtEzm59aIgXS,4.977697,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,3, , , ,Attached USB Storage,"[""usb""]",81101, ,"[""4.8""]", ,kernel,"Apr  8 00:38:11 administrator-virtual-machine kernel: [30277.764672] usb 2-2.1: New USB device found, idVendor=0e0f, idProduct=0008, bcdDevice= 1.00",log,4/6/2022 12:16,/var/log/syslog,1649247394,4/6/2022 12:16, , , , , , , , , , , , , , , , , , , , , , , , , , ,administrator-virtual-machine,kernel,4/8/2022 0:38,kernel, , ,usb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""parent"":""kernel"",""name"":""kernel""}", , , 
racVM-alerts-4.x-2022.04.06,_doc,1BjO_n8BNtEzm59aJgW4,4.977697,192.168.32.147,administrator-virtual-machine,2,racVM-manager, , , , ,1,FALSE,7,"[""2.2""]", ,"[""CC7.1"",""CC7.2""]",SCA summary: CIS Benchmark for Debian/Linux 10: Score less than 50% (32),"[""sca""]",19004,"[""CM.1""]", ,"[""IV_35.7.d""]",sca, ,log,4/6/2022 12:16,sca,1649247395,4/6/2022 12:16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32,192,cis_debian10.yml,cis_debian10,25,This document provides prescriptive guidance for establishing a secure configuration posture for Debian Linux 10.,45398409,54,113,summary,CIS Benchmark for Debian/Linux 10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"{""name"":""sca""}", , , 
