_index,_type,_id,_score,_source.os.arch,_source.os.codename,_source.os.major,_source.os.minor,_source.os.name,_source.os.platform,_source.os.uname,_source.os.version,_source.lastKeepAlive,_source.configSum,_source.node_name,_source.mergedSum,_source.dateAdd,_source.name,_source.ip,_source.id,_source.status,_source.registerIP,_source.group,_source.version,_source.manager,_source.timestamp,_source.host,_source.cluster.name
racVM-monitoring-2022.14w,_doc,wKuC-n8Bo1kLDy8QCkoO,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-05T16:14:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/5/2022 16:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,jaur-n8Bo1kLDy8QP0sX,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-05T16:59:56Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/5/2022 17:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,Y6ud-n8Bo1kLDy8QgksZ,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-05T16:44:56Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/5/2022 16:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,PhiI_n8BNtEzm59aAQXO,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T10:59:51Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,WxiV_n8BNtEzm59awQXR,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T11:14:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,exij_n8BNtEzm59aeQUN,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T11:29:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,xhhe_n8BNtEzm59a0gTq,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T10:14:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,2xhs_n8BNtEzm59aiQQE,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T10:29:54Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:30,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,Axh6_n8BNtEzm59aRAX_,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T10:44:52Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 10:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,lhix_n8BNtEzm59aNAUL,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T11:45:00Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 11:45,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,qxi-_n8BNtEzm59a7wWz,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T11:59:59Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:00,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,yBjM_n8BNtEzm59arAXd,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T12:14:58Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 12:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,ohhx_38BNtEzm59adwhf,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T15:14:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:15,racVM-manager,disabled
racVM-monitoring-2022.14w,_doc,sxh__38BNtEzm59aMwgR,1.7652504,x86_64,Focal Fossa,20,4,Ubuntu,ubuntu,Linux |administrator-virtual-machine |5.13.0-39-generic |#44~20.04.1-Ubuntu SMP Thu Mar 24 16:43:35 UTC 2022 |x86_64,20.04.4 LTS,2022-04-06T15:29:50Z,ab73af41699f13fdd81903b5f23d8d00,node01,2c45c95db2954d2c7d0ea533f09e81a5,2022-04-05T16:10:48Z,administrator-virtual-machine,192.168.32.147,2,active,any,"[""default""]",racVM v4.2.6,racVM-manager,4/6/2022 15:30,racVM-manager,disabled
